"ID","Date","Description","Category","Type","Amount"
"1700000000001","2026-01-25","Fuel Expense","Travel","expense","2353.19"
"1700000000002","2026-01-23","Raw Materials","Supplies","expense","12513.60"
"1700000000003","2026-03-29","Social Media Ad","Marketing","expense","2323.33"
"1700000000004","2026-03-21","Product Sale","Sales","income","31996.21"
"1700000000005","2026-01-01","Hardware Purchase","Supplies","expense","10534.14"
"1700000000006","2026-03-31","Online Order","Sales","income","44216.90"
"1700000000007","2026-02-01","Contractor Payment","Payroll","expense","11008.87"
"1700000000008","2026-03-14","Office Supplies","Supplies","expense","11549.48"
"1700000000009","2026-01-20","Software Subscription","Operational","expense","6185.19"
"1700000000010","2026-03-11","SEO Services","Marketing","expense","5165.49"
"1700000000011","2026-01-11","Hotel Stay","Travel","expense","10079.71"
"1700000000012","2026-01-28","Product Sale","Sales","income","29079.94"
"1700000000013","2026-01-14","Online Order","Sales","income","26874.81"
"1700000000014","2026-01-16","Online Order","Sales","income","23764.32"
"1700000000015","2026-04-01","Staff Salary","Payroll","expense","3692.13"
"1700000000016","2026-03-12","Maintenance Contract","Services","income","18956.88"
"1700000000017","2026-01-14","Email Campaign","Marketing","expense","4275.18"
"1700000000018","2026-01-29","Office Rent","Operational","expense","1533.67"
"1700000000019","2026-01-31","Maintenance Contract","Services","income","29734.24"
"1700000000020","2026-03-16","Project Bonus","Payroll","expense","3884.84"
"1700000000021","2026-02-18","Office Rent","Operational","expense","5807.47"
"1700000000022","2026-01-21","Product Sale","Sales","income","13099.43"
"1700000000023","2026-02-04","Contractor Payment","Payroll","expense","12834.34"
"1700000000024","2026-01-29","Contractor Payment","Payroll","expense","10187.06"
"1700000000025","2026-04-13","Utility Bill","Operational","expense","9232.49"
"1700000000026","2026-01-17","Project Bonus","Payroll","expense","4607.49"
"1700000000027","2026-02-06","Service Fee","Services","income","40765.61"
"1700000000028","2026-02-22","Software Subscription","Operational","expense","10874.53"
"1700000000029","2026-03-14","Software Subscription","Operational","expense","11397.18"
"1700000000030","2026-04-02","Retail Transaction","Sales","income","28976.30"
"1700000000031","2026-01-28","Raw Materials","Supplies","expense","12075.70"
"1700000000032","2026-04-10","Print Materials","Marketing","expense","13815.81"
"1700000000033","2026-04-14","Project Bonus","Payroll","expense","14179.69"
"1700000000034","2026-01-15","Fuel Expense","Travel","expense","9717.22"
"1700000000035","2026-03-12","Hotel Stay","Travel","expense","10863.31"
"1700000000036","2026-04-09","Contractor Payment","Payroll","expense","10307.65"
"1700000000037","2026-02-03","Print Materials","Marketing","expense","8772.42"
"1700000000038","2026-04-01","Project Milestone","Services","income","17908.68"
"1700000000039","2026-01-09","Hotel Stay","Travel","expense","12389.64"
"1700000000040","2026-04-18","Project Bonus","Payroll","expense","2155.87"
"1700000000041","2026-02-17","Social Media Ad","Marketing","expense","1646.21"
"1700000000042","2026-04-04","Hotel Stay","Travel","expense","4724.56"
"1700000000043","2026-03-05","Contractor Payment","Payroll","expense","14642.19"
"1700000000044","2026-02-21","Office Rent","Operational","expense","8743.82"
"1700000000045","2026-01-11","Software Subscription","Operational","expense","3254.21"
"1700000000046","2026-02-03","Office Rent","Operational","expense","14585.41"
"1700000000047","2026-03-13","Retail Transaction","Sales","income","18818.74"
"1700000000048","2026-01-19","Project Bonus","Payroll","expense","11235.17"
"1700000000049","2026-04-09","Contractor Payment","Payroll","expense","8270.46"
"1700000000050","2026-03-20","Raw Materials","Supplies","expense","12206.24"
"1700000000051","2026-01-07","Office Rent","Operational","expense","6514.81"
"1700000000052","2026-03-17","Service Fee","Services","income","45664.69"
"1700000000053","2026-04-14","Hotel Stay","Travel","expense","2678.27"
"1700000000054","2026-01-15","Product Sale","Sales","income","25412.78"
"1700000000055","2026-02-22","Retail Transaction","Sales","income","14960.94"
"1700000000056","2026-04-03","Software Subscription","Operational","expense","10647.89"
"1700000000057","2026-04-19","Social Media Ad","Marketing","expense","7316.53"
"1700000000058","2026-03-03","SEO Services","Marketing","expense","892.68"
"1700000000059","2026-01-05","Contractor Payment","Payroll","expense","11031.55"
"1700000000060","2026-04-13","Contractor Payment","Payroll","expense","14240.00"
"1700000000061","2026-02-22","Contractor Payment","Payroll","expense","11109.08"
"1700000000062","2026-02-09","Email Campaign","Marketing","expense","3599.87"
"1700000000063","2026-03-21","Project Milestone","Services","income","33689.10"
"1700000000064","2026-04-14","Service Fee","Services","income","33610.98"
"1700000000065","2026-02-19","Office Supplies","Supplies","expense","400.73"
"1700000000066","2026-01-27","Email Campaign","Marketing","expense","7662.40"
"1700000000067","2026-03-20","Service Fee","Services","income","24699.82"
"1700000000068","2026-03-22","Vendor Payment","Supplies","expense","14593.04"
"1700000000069","2026-04-05","Project Milestone","Services","income","33676.18"
"1700000000070","2026-01-29","Service Fee","Services","income","47997.19"
"1700000000071","2026-03-22","Meal Reimbursement","Travel","expense","4682.48"
"1700000000072","2026-02-15","Meal Reimbursement","Travel","expense","5478.12"
"1700000000073","2026-01-08","SEO Services","Marketing","expense","2946.27"
"1700000000074","2026-01-22","Project Bonus","Payroll","expense","10871.94"
"1700000000075","2026-02-17","Flight Ticket","Travel","expense","13762.46"
"1700000000076","2026-02-19","Hotel Stay","Travel","expense","10212.69"
"1700000000077","2026-02-01","Office Supplies","Supplies","expense","12040.98"
"1700000000078","2026-02-21","Product Sale","Sales","income","23220.89"
"1700000000079","2026-03-08","Hotel Stay","Travel","expense","2838.39"
"1700000000080","2026-01-26","Raw Materials","Supplies","expense","3502.84"
"1700000000081","2026-01-25","Insurance Premium","Operational","expense","6066.10"
"1700000000082","2026-01-28","Vendor Payment","Supplies","expense","8658.39"
"1700000000083","2026-02-27","Vendor Payment","Supplies","expense","138.06"
"1700000000084","2026-02-04","Office Supplies","Supplies","expense","3963.51"
"1700000000085","2026-04-18","Raw Materials","Supplies","expense","11383.03"
"1700000000086","2026-02-12","Vendor Payment","Supplies","expense","342.99"
"1700000000087","2026-03-27","Raw Materials","Supplies","expense","1755.07"
"1700000000088","2026-01-04","Hardware Purchase","Supplies","expense","10523.50"
"1700000000089","2026-03-30","Staff Salary","Payroll","expense","14351.02"
"1700000000090","2026-03-19","Social Media Ad","Marketing","expense","11482.18"
"1700000000091","2026-03-01","Fuel Expense","Travel","expense","4003.11"
"1700000000092","2026-04-14","Email Campaign","Marketing","expense","4904.15"
"1700000000093","2026-03-08","Office Supplies","Supplies","expense","10569.26"
"1700000000094","2026-03-16","Service Fee","Services","income","26699.24"
"1700000000095","2026-02-01","Office Rent","Operational","expense","2863.53"
"1700000000096","2026-04-12","Online Order","Sales","income","32836.38"
"1700000000097","2026-04-08","Software Subscription","Operational","expense","9443.99"
"1700000000098","2026-03-01","Project Milestone","Services","income","17687.52"
"1700000000099","2026-01-11","Office Rent","Operational","expense","2517.80"
"1700000000100","2026-01-19","Social Media Ad","Marketing","expense","8610.45"
"1700000000101","2026-03-25","Consulting Fee","Services","income","12500.00"
"1700000000102","2026-02-14","Utility Bill","Operational","expense","450.75"
"1700000000103","2026-01-05","Website Hosting","Operational","expense","120.00"
"1700000000104","2026-03-12","Product Sale","Sales","income","35200.50"
"1700000000105","2026-04-02","Legal Consultation","Services","expense","1500.00"
"1700000000106","2026-02-28","Inventory Restock","Supplies","expense","8900.25"
"1700000000107","2026-01-19","Client Retainer","Services","income","5000.00"
"1700000000108","2026-03-08","Office Furniture","Supplies","expense","2400.00"
"1700000000109","2026-04-15","Travel Reimbursement","Travel","expense","850.40"
"1700000000110","2026-02-10","Bulk Paper Order","Supplies","expense","310.15"
"1700000000111","2026-03-22","SaaS Revenue","Sales","income","18750.00"
"1700000000112","2026-01-30","Janitorial Services","Operational","expense","600.00"
"1700000000113","2026-04-05","Quarterly Tax","Operational","expense","12400.00"
"1700000000114","2026-02-18","Training Workshop","Services","income","3200.00"
"1700000000115","2026-03-14","Repair Services","Operational","expense","1150.00"
"1700000000116","2026-01-12","Direct Sale","Sales","income","9400.60"
"1700000000117","2026-03-01","Monthly Salary","Payroll","expense","75000.00"
"1700000000118","2026-04-10","Coffee Supplies","Supplies","expense","145.20"
"1700000000119","2026-02-25","Custom Software Dev","Services","income","21000.00"
"1700000000120","2026-01-08","Broadband Bill","Operational","expense","110.00"
"1700000000121","2026-03-29","E-commerce Revenue","Sales","income","14250.75"
"1700000000122","2026-04-03","Domain Renewal","Operational","expense","45.00"
"1700000000123","2026-02-05","Courier Charges","Operational","expense","85.90"
"1700000000124","2026-01-24","Partner Commission","Sales","income","6700.00"
"1700000000125","2026-03-17","PR Agency Fee","Marketing","expense","4000.00"
"1700000000126","2026-04-18","Laptop Purchase","Supplies","expense","2200.00"
"1700000000127","2026-02-12","Asset Liquidation","Sales","income","800.00"
"1700000000128","2026-01-15","Parking Fees","Travel","expense","25.00"
"1700000000129","2026-03-05","Customer Support Outsource","Operational","expense","3000.00"
"1700000000130","2026-04-09","Affiliate Payout","Marketing","expense","1120.50"
"1700000000131","2026-02-21","License Fees","Services","income","3500.00"
"1700000000132","2026-01-11","Stationery","Supplies","expense","95.40"
"1700000000133","2026-03-20","Cloud Computing Credit","Sales","income","500.00"
"1700000000134","2026-04-12","Security System","Operational","expense","1800.00"
"1700000000135","2026-02-09","Conference Booking","Travel","expense","2100.00"
"1700000000136","2026-01-27","Logo Design","Marketing","expense","750.00"
"1700000000137","2026-03-24","Software Licensing","Sales","income","12400.00"
"1700000000138","2026-04-01","Staff Wellness Program","Payroll","expense","2000.00"
"1700000000139","2026-02-16","Electricity Bill","Operational","expense","560.25"
"1700000000140","2026-01-04","Technical Support","Services","income","1200.00"
"1700000000141","2026-03-07","Packaging Box Order","Supplies","expense","450.00"
"1700000000142","2026-04-14","Event Sponsorship","Marketing","expense","5000.00"
"1700000000143","2026-02-23","Product Upgrades","Sales","income","2300.00"
"1700000000144","2026-01-20","Team Lunch","Travel","expense","180.50"
"1700000000145","2026-03-11","Water Delivery","Operational","expense","65.00"
"1700000000146","2026-04-16","Subscription Revenue","Sales","income","890.00"
